sid,line,group,refkey,refurl,Type,LocalizationSID,Weight,Cost,Rarity,AnomalyElementType,ArtifactType,ArchiartifactType,MaxStackCount,ItemGridWidth,ItemGridHeight,IsQuestItem,IsQuestItemPrototype,RequireWeight,IgnoreEquippedWeight,Invisible,InvisibleInPlayerInventory,DestroyOnPickup,DropOnPickup,DetectorRequired,Strafe,ArtifactSpawn,LifeTime,LifeTimeDependant,Persistent,Radius,JumpAmount,JumpDistance,JumpDelay,JumpSeriesDelay,JumpHeight,JumpForce,JumpSpeedCoef,PlayerDistance,ReturnDistanceValue,StateTransitionDelay,DisableCollisionWhenHide,DamageToStaminaCoefficient,DamageToWeightCoefficient,MinWeight,MaxWeight,WeightDecreaseDelay,WeightDecreaseRate,WeightDecreaseAmount,MinimalDrunkenness,EffectsDuration,MaxCharge,ChargeThreshold,ChargingSpeed,bUseCharge,LandingForce
TemplateArtifact,15132,template,[0],../ItemPrototypes.cfg,EItemType::Artifact,,0.5,0.0,EArtifactRarity::Common,EAnomalyElementType::None,EArtifactType::None,EArchiartifactType::None,999,1,1,,,,false,false,false,false,false,true,true,true,3600.0,true,false,40.0,3,1500.0,6.0,45.0,100.0,15.0,1.0,1000.0,10000.0,1.0,true,,,,,,,,,,,,,,
EArtifactFlash,15213,ordinary-candidate,TemplateArtifact,,EItemType::Artifact,,0.3,12000.0,EArtifactRarity::Common,EAnomalyElementType::Electro,EArtifactType::Electro,EArchiartifactType::None,999,1,1,,,,false,false,false,false,false,true,true,true,3600.0,true,false,40.0,3,1500.0,6.0,45.0,100.0,15.0,1.0,1000.0,10000.0,1.0,true,,,,,,,,,,,,,,
EArtifactFlash_Fake,15301,fake,EArtifactFlash,,EItemType::Artifact,EArtifactFlash,0.3,12000.0,EArtifactRarity::Common,EAnomalyElementType::Electro,EArtifactType::Fake,EArchiartifactType::None,999,1,1,,,,false,false,false,true,false,true,true,true,3600.0,true,false,40.0,3,1500.0,6.0,45.0,100.0,15.0,1.0,1000.0,10000.0,1.0,true,,,,,,,,,,,,,,
EArtifactSoul,15390,ordinary-candidate,TemplateArtifact,,EItemType::Artifact,,0.4,20000.0,EArtifactRarity::Uncommon,EAnomalyElementType::Electro,EArtifactType::Electro,EArchiartifactType::None,999,1,1,,,,false,false,false,false,false,true,true,true,3600.0,true,false,40.0,5,1500.0,3.0,35.0,100.0,15.0,1.0,1000.0,10000.0,1.0,true,,,,,,,,,,,,,,
EArtifactSoul_Fake,15478,fake,EArtifactSoul,,EItemType::Artifact,EArtifactSoul,0.4,20000.0,EArtifactRarity::Uncommon,EAnomalyElementType::Electro,EArtifactType::Fake,EArchiartifactType::None,999,1,1,,,,false,false,false,true,false,true,true,true,3600.0,true,false,40.0,5,1500.0,3.0,35.0,100.0,15.0,1.0,1000.0,10000.0,1.0,true,,,,,,,,,,,,,,
EArtifactSnowflake,15572,ordinary-candidate,TemplateArtifact,,EItemType::Artifact,,0.3,12000.0,EArtifactRarity::Common,EAnomalyElementType::Electro,EArtifactType::Electro,EArchiartifactType::None,999,1,1,,,,false,false,false,false,false,true,true,true,3600.0,true,false,40.0,3,1500.0,6.0,45.0,100.0,15.0,1.0,1000.0,10000.0,1.0,true,,,,,,,,,,,,,,
EArtifactSnowflake_Fake,15660,fake,EArtifactSnowflake,,EItemType::Artifact,EArtifactSnowflake,0.3,12000.0,EArtifactRarity::Common,EAnomalyElementType::Electro,EArtifactType::Fake,EArchiartifactType::None,999,1,1,,,,false,false,false,true,false,true,true,true,3600.0,true,false,40.0,3,1500.0,6.0,45.0,100.0,15.0,1.0,1000.0,10000.0,1.0,true,,,,,,,,,,,,,,
GArtifactNightStar,15754,ordinary-candidate,TemplateArtifact,,EItemType::Artifact,,0.6,36000.0,EArtifactRarity::Rare,EAnomalyElementType::Gravity,EArtifactType::Gravity,EArchiartifactType::None,999,1,1,,,,false,false,false,false,false,true,true,true,3600.0,true,false,40.0,7,1500.0,3.0,25.0,100.0,15.0,1.0,1000.0,10000.0,1.0,true,,,,,,,,,,,,,,
GArtifactNightStar_Fake,15845,fake,GArtifactNightStar,,EItemType::Artifact,GArtifactNightStar,0.6,36000.0,EArtifactRarity::Rare,EAnomalyElementType::Gravity,EArtifactType::Fake,EArchiartifactType::None,999,1,1,,,,false,false,false,true,false,true,true,true,3600.0,true,false,40.0,7,1500.0,3.0,25.0,100.0,15.0,1.0,1000.0,10000.0,1.0,true,,,,,,,,,,,,,,
EArtifactDummy,15937,ordinary-candidate,TemplateArtifact,,EItemType::Artifact,,0.45,12000.0,EArtifactRarity::Common,EAnomalyElementType::Electro,EArtifactType::Electro,EArchiartifactType::None,999,1,1,,,,false,false,false,false,false,true,true,true,3600.0,true,false,40.0,3,1500.0,6.0,45.0,100.0,15.0,1.0,1000.0,10000.0,1.0,true,,,,,,,,,,,,,,
EArtifactDummy_Fake,16022,fake,EArtifactDummy,,EItemType::Artifact,EArtifactDummy,0.45,12000.0,EArtifactRarity::Common,EAnomalyElementType::Electro,EArtifactType::Fake,EArchiartifactType::None,999,1,1,,,,false,false,false,true,false,true,true,true,3600.0,true,false,40.0,3,1500.0,6.0,45.0,100.0,15.0,1.0,1000.0,10000.0,1.0,true,,,,,,,,,,,,,,
CArtifactCrystalThorn,16108,ordinary-candidate,TemplateArtifact,,EItemType::Artifact,,0.5,12000.0,EArtifactRarity::Common,EAnomalyElementType::Chemical,EArtifactType::Chemical,EArchiartifactType::None,999,1,1,,,,false,false,false,false,false,true,true,true,3600.0,true,false,40.0,3,1500.0,6.0,45.0,100.0,15.0,1.0,1000.0,10000.0,1.0,true,,,,,,,,,,,,,,
CArtifactCrystalThorn_Fake,16195,fake,CArtifactCrystalThorn,,EItemType::Artifact,CArtifactCrystalThorn,0.5,12000.0,EArtifactRarity::Common,EAnomalyElementType::Chemical,EArtifactType::Fake,EArchiartifactType::None,999,1,1,,,,false,false,false,true,false,true,true,true,3600.0,true,false,40.0,3,1500.0,6.0,45.0,100.0,15.0,1.0,1000.0,10000.0,1.0,true,,,,,,,,,,,,,,
EArtifactBattery,16283,ordinary-candidate,TemplateArtifact,,EItemType::Artifact,,0.4,12000.0,EArtifactRarity::Common,EAnomalyElementType::Electro,EArtifactType::Electro,EArchiartifactType::None,999,1,1,,,,false,false,false,false,false,true,true,true,3600.0,true,false,10.0,3,1500.0,6.0,45.0,100.0,15.0,1.0,1000.0,10000.0,1.0,true,,,,,,,,,,,,,,
EArtifactBattery_Fake,16371,fake,EArtifactBattery,,EItemType::Artifact,EArtifactBattery,0.4,12000.0,EArtifactRarity::Common,EAnomalyElementType::Electro,EArtifactType::Fake,EArchiartifactType::None,999,1,1,,,,false,false,false,true,false,true,true,true,3600.0,true,false,10.0,3,1500.0,6.0,45.0,100.0,15.0,1.0,1000.0,10000.0,1.0,true,,,,,,,,,,,,,,
FArtifactCrystal,16460,ordinary-candidate,TemplateArtifact,,EItemType::Artifact,,0.65,12000.0,EArtifactRarity::Common,EAnomalyElementType::Fire,EArtifactType::Fire,EArchiartifactType::None,999,1,1,,,,false,false,false,false,false,true,true,true,3600.0,true,false,40.0,3,1500.0,6.0,45.0,100.0,15.0,1.0,1000.0,10000.0,1.0,true,,,,,,,,,,,,,,
FArtifactCrystal_Fake,16548,fake,FArtifactCrystal,,EItemType::Artifact,FArtifactCrystal,0.65,12000.0,EArtifactRarity::Common,EAnomalyElementType::Fire,EArtifactType::Fake,EArchiartifactType::None,999,1,1,,,,false,false,false,true,false,true,true,true,3600.0,true,false,40.0,3,1500.0,6.0,45.0,100.0,15.0,1.0,1000.0,10000.0,1.0,true,,,,,,,,,,,,,,
EArtifactMoonlight,16637,ordinary-candidate,TemplateArtifact,,EItemType::Artifact,,0.55,20000.0,EArtifactRarity::Uncommon,EAnomalyElementType::Electro,EArtifactType::Electro,EArchiartifactType::None,999,1,1,,,,false,false,false,false,false,true,true,true,3600.0,true,false,40.0,5,1500.0,3.0,35.0,100.0,15.0,1.0,1000.0,10000.0,1.0,true,,,,,,,,,,,,,,
EArtifactMoonlight_Fake,16725,fake,EArtifactMoonlight,,EItemType::Artifact,EArtifactMoonlight,0.55,20000.0,EArtifactRarity::Uncommon,EAnomalyElementType::Electro,EArtifactType::Fake,EArchiartifactType::None,999,1,1,,,,false,false,false,true,false,true,true,true,3600.0,true,false,40.0,5,1500.0,3.0,35.0,100.0,15.0,1.0,1000.0,10000.0,1.0,true,,,,,,,,,,,,,,
FArtifactMomsBeads,16814,ordinary-candidate,TemplateArtifact,,EItemType::Artifact,,0.4,12000.0,EArtifactRarity::Common,EAnomalyElementType::Fire,EArtifactType::Fire,EArchiartifactType::None,999,1,1,,,,false,false,false,false,false,true,true,true,3600.0,true,false,40.0,5,1500.0,3.0,35.0,100.0,15.0,1.0,1000.0,10000.0,1.0,true,,,,,,,,,,,,,,
FArtifactMomsBeads_Fake,16902,fake,FArtifactMomsBeads,,EItemType::Artifact,FArtifactMomsBeads,0.4,12000.0,EArtifactRarity::Common,EAnomalyElementType::Fire,EArtifactType::Fake,EArchiartifactType::None,999,1,1,,,,false,false,false,true,false,true,true,true,3600.0,true,false,40.0,5,1500.0,3.0,35.0,100.0,15.0,1.0,1000.0,10000.0,1.0,true,,,,,,,,,,,,,,
EArtifactJellyFish,16991,ordinary-candidate,TemplateArtifact,,EItemType::Artifact,,0.65,12000.0,EArtifactRarity::Common,EAnomalyElementType::Electro,EArtifactType::Electro,EArchiartifactType::None,999,1,1,,,,false,false,false,false,false,true,true,true,3600.0,true,false,40.0,3,1500.0,6.0,45.0,100.0,15.0,1.0,1000.0,10000.0,1.0,true,,,,,,,,,,,,,,
EArtifactJellyFish_Fake,17079,fake,EArtifactJellyFish,,EItemType::Artifact,EArtifactJellyFish,0.65,12000.0,EArtifactRarity::Common,EAnomalyElementType::Electro,EArtifactType::Fake,EArchiartifactType::None,999,1,1,,,,false,false,false,true,false,true,true,true,3600.0,true,false,40.0,3,1500.0,6.0,45.0,100.0,15.0,1.0,1000.0,10000.0,1.0,true,,,,,,,,,,,,,,
EArtifactTow,17168,ordinary-candidate,TemplateArtifact,,EItemType::Artifact,,0.4,20000.0,EArtifactRarity::Uncommon,EAnomalyElementType::Electro,EArtifactType::Electro,EArchiartifactType::None,999,1,1,,,,false,false,false,false,false,true,true,true,3600.0,true,false,40.0,5,1500.0,3.0,35.0,100.0,15.0,1.0,1000.0,10000.0,1.0,true,,,,,,,,,,,,,,
EArtifactTow_Fake,17259,fake,EArtifactTow,,EItemType::Artifact,EArtifactTow,0.4,20000.0,EArtifactRarity::Uncommon,EAnomalyElementType::Electro,EArtifactType::Fake,EArchiartifactType::None,999,1,1,,,,false,false,false,true,false,true,true,true,3600.0,true,false,40.0,5,1500.0,3.0,35.0,100.0,15.0,1.0,1000.0,10000.0,1.0,true,,,,,,,,,,,,,,
EArtifactThunderHedgehog,17351,ordinary-candidate,TemplateArtifact,,EItemType::Artifact,,0.55,20000.0,EArtifactRarity::Uncommon,EAnomalyElementType::Electro,EArtifactType::Electro,EArchiartifactType::None,999,1,1,,,,false,false,false,false,false,true,true,true,3600.0,true,false,40.0,5,1500.0,3.0,35.0,100.0,15.0,1.0,1000.0,10000.0,1.0,true,,,,,,,,,,,,,,
EArtifactThunderHedgehog_Fake,17439,fake,EArtifactThunderHedgehog,,EItemType::Artifact,EArtifactThunderHedgehog,0.55,20000.0,EArtifactRarity::Uncommon,EAnomalyElementType::Electro,EArtifactType::Fake,EArchiartifactType::None,999,1,1,,,,false,false,false,true,false,true,true,true,3600.0,true,false,40.0,5,1500.0,3.0,35.0,100.0,15.0,1.0,1000.0,10000.0,1.0,true,,,,,,,,,,,,,,
EArtifactWorm,17528,ordinary-candidate,TemplateArtifact,,EItemType::Artifact,,0.35,12000.0,EArtifactRarity::Common,EAnomalyElementType::Electro,EArtifactType::Electro,EArchiartifactType::None,999,1,1,,,,false,false,false,false,false,true,true,true,3600.0,true,false,40.0,3,1500.0,6.0,45.0,100.0,15.0,1.0,1000.0,10000.0,1.0,true,,,,,,,,,,,,,,
