sid,line,attrs,UseListOfArtifacts,SingleArtifactSpawner,rank,Count,Radius,MinCooldown,MaxCooldown,SpawnChanceBase,SpawnChanceBonus,RarityChance.Common,RarityChance.Uncommon,RarityChance.Rare,RarityChance.Epic
Empty,1,,false,false,Newbie,0,0.f,0.f,0.f,0.f,0.f,0.f,0.f,0.f,0.f
Empty,1,,false,false,Experienced,0,0.f,0.f,0.f,0.f,0.f,0.f,0.f,0.f,0.f
Empty,1,,false,false,Veteran,0,0.f,0.f,0.f,0.f,0.f,0.f,0.f,0.f,0.f
Empty,1,,false,false,Master,0,0.f,0.f,0.f,0.f,0.f,0.f,0.f,0.f,0.f
ChunkMeatArtifactSpawner,70,refkey=Empty,true,false,Newbie,1,0.f,3.f,15.f,40.f,5.f,0.f,0.f,0.f,0.f
ChunkMeatArtifactSpawner,70,refkey=Empty,true,false,Experienced,1,0.f,3.f,15.f,40.f,5.f,0.f,0.f,0.f,0.f
ChunkMeatArtifactSpawner,70,refkey=Empty,true,false,Veteran,1,0.f,3.f,15.f,40.f,5.f,0.f,0.f,0.f,0.f
ChunkMeatArtifactSpawner,70,refkey=Empty,true,false,Master,1,0.f,3.f,15.f,40.f,5.f,0.f,0.f,0.f,0.f
EyeArtifactSpawner,139,refkey=Empty,true,false,Newbie,1,0.f,3.f,15.f,40.f,5.f,0.f,0.f,0.f,0.f
EyeArtifactSpawner,139,refkey=Empty,true,false,Experienced,1,0.f,3.f,15.f,40.f,5.f,0.f,0.f,0.f,0.f
EyeArtifactSpawner,139,refkey=Empty,true,false,Veteran,1,0.f,3.f,15.f,40.f,5.f,0.f,0.f,0.f,0.f
EyeArtifactSpawner,139,refkey=Empty,true,false,Master,1,0.f,3.f,15.f,40.f,5.f,0.f,0.f,0.f,0.f
UniversalArtifactSpawner,208,refkey=Empty,false,false,Newbie,1,2000.f,5400.f,5400.f,25.f,15.f,80.f,20.f,0.f,0.f
UniversalArtifactSpawner,208,refkey=Empty,false,false,Experienced,1,2000.f,5400.f,5400.f,25.f,15.f,50.f,48.f,1.9f,0.1f
UniversalArtifactSpawner,208,refkey=Empty,false,false,Veteran,1,2000.f,5400.f,5400.f,25.f,15.f,30.f,59.f,10.f,1.f
UniversalArtifactSpawner,208,refkey=Empty,false,false,Master,1,2000.f,5400.f,5400.f,25.f,15.f,10.f,65.f,20.f,5.f
MSDemoArtifactSpawner,275,refkey=Empty,false,false,Newbie,1,20000.f,3.f,15.f,40.f,5.f,1.f,0.f,0.f,0.f
MSDemoArtifactSpawner,275,refkey=Empty,false,false,Experienced,1,20000.f,3.f,15.f,40.f,5.f,0.f,1.f,0.f,0.f
MSDemoArtifactSpawner,275,refkey=Empty,false,false,Veteran,1,20000.f,3.f,15.f,40.f,5.f,0.f,1.f,0.f,0.f
MSDemoArtifactSpawner,275,refkey=Empty,false,false,Master,1,20000.f,3.f,15.f,40.f,5.f,0.f,1.f,0.f,0.f
AtomArtifactSpawner,342,refkey=Empty,true,false,Newbie,1,0.f,3.0,15.0,40.0,5.0,0.f,0.f,0.f,0.f
