tab,scope,kind,group,key,target,param,label,minimum,maximum,step,neutral,available,section,tooltip
Ammo,individual,slider,ammo_overrides,A012A:aimdispersion,A012A,aimdispersion,12 gauge armor-piercing / Spread while aiming,0.1,5,0.1,1,True,,
Ammo,individual,slider,ammo_overrides,A012A:armordamage,A012A,armordamage,12 gauge armor-piercing / Armor damage,0.1,5,0.1,1,True,,
Ammo,individual,slider,ammo_overrides,A012A:bleeding,A012A,bleeding,12 gauge armor-piercing / Bleeding,0.1,5,0.1,1,True,,
Ammo,individual,slider,ammo_overrides,A012A:cover,A012A,cover,12 gauge armor-piercing / Cover penetration,0.1,5,0.1,1,True,,
Ammo,individual,slider,ammo_overrides,A012A:damage,A012A,damage,12 gauge armor-piercing / Damage,0.1,5,0.1,1,True,,
Ammo,individual,slider,ammo_overrides,A012A:dispersion,A012A,dispersion,12 gauge armor-piercing / Spread,0.1,5,0.1,1,True,,
Ammo,individual,slider,ammo_overrides,A012A:flatness,A012A,flatness,12 gauge armor-piercing / Trajectory flatness,0.1,5,0.1,1,True,,
Ammo,individual,slider,ammo_overrides,A012A:piercing,A012A,piercing,12 gauge armor-piercing / Armor piercing,0.1,5,0.1,1,True,,
Ammo,individual,slider,ammo_overrides,A012A:recoil,A012A,recoil,12 gauge armor-piercing / Recoil,0.1,5,0.1,1,True,,
Ammo,individual,slider,ammo_overrides,A012A:stack,A012A,stack,12 gauge armor-piercing / Stack size,0.1,5,0.1,1,True,,
Ammo,individual,slider,ammo_overrides,A012A:wear,A012A,wear,12 gauge armor-piercing / Weapon wear,0.1,5,0.1,1,True,,
Ammo,individual,slider,ammo_overrides,A012D:aimdispersion,A012D,aimdispersion,12 gauge standard / Spread while aiming,0.1,5,0.1,1,True,,
Ammo,individual,slider,ammo_overrides,A012D:armordamage,A012D,armordamage,12 gauge standard / Armor damage,0.1,5,0.1,1,True,,
Ammo,individual,slider,ammo_overrides,A012D:bleeding,A012D,bleeding,12 gauge standard / Bleeding,0.1,5,0.1,1,True,,
Ammo,individual,slider,ammo_overrides,A012D:damage,A012D,damage,12 gauge standard / Damage,0.1,5,0.1,1,True,,
Ammo,individual,slider,ammo_overrides,A012D:dispersion,A012D,dispersion,12 gauge standard / Spread,0.1,5,0.1,1,True,,
Ammo,individual,slider,ammo_overrides,A012D:flatness,A012D,flatness,12 gauge standard / Trajectory flatness,0.1,5,0.1,1,True,,
Ammo,individual,slider,ammo_overrides,A012D:recoil,A012D,recoil,12 gauge standard / Recoil,0.1,5,0.1,1,True,,
Ammo,individual,slider,ammo_overrides,A012D:stack,A012D,stack,12 gauge standard / Stack size,0.1,5,0.1,1,True,,
Ammo,individual,slider,ammo_overrides,A012D:wear,A012D,wear,12 gauge standard / Weapon wear,0.1,5,0.1,1,True,,
Ammo,individual,slider,ammo_overrides,A012E:aimdispersion,A012E,aimdispersion,12 gauge expanding / Spread while aiming,0.1,5,0.1,1,True,,
Ammo,individual,slider,ammo_overrides,A012E:armordamage,A012E,armordamage,12 gauge expanding / Armor damage,0.1,5,0.1,1,True,,
Ammo,individual,slider,ammo_overrides,A012E:bleeding,A012E,bleeding,12 gauge expanding / Bleeding,0.1,5,0.1,1,True,,
Ammo,individual,slider,ammo_overrides,A012E:cover,A012E,cover,12 gauge expanding / Cover penetration,0.1,5,0.1,1,True,,
Ammo,individual,slider,ammo_overrides,A012E:damage,A012E,damage,12 gauge expanding / Damage,0.1,5,0.1,1,True,,
Ammo,individual,slider,ammo_overrides,A012E:dispersion,A012E,dispersion,12 gauge expanding / Spread,0.1,5,0.1,1,True,,
Ammo,individual,slider,ammo_overrides,A012E:flatness,A012E,flatness,12 gauge expanding / Trajectory flatness,0.1,5,0.1,1,True,,
Ammo,individual,slider,ammo_overrides,A012E:piercing,A012E,piercing,12 gauge expanding / Armor piercing,0.1,5,0.1,1,True,,
Ammo,individual,slider,ammo_overrides,A012E:recoil,A012E,recoil,12 gauge expanding / Recoil,0.1,5,0.1,1,True,,
Ammo,individual,slider,ammo_overrides,A012E:stack,A012E,stack,12 gauge expanding / Stack size,0.1,5,0.1,1,True,,
Ammo,individual,slider,ammo_overrides,A012E:wear,A012E,wear,12 gauge expanding / Weapon wear,0.1,5,0.1,1,True,,
Ammo,individual,slider,ammo_overrides,A045A:aimdispersion,A045A,aimdispersion,.45 ACP armor-piercing / Spread while aiming,0.1,5,0.1,1,True,,
Ammo,individual,slider,ammo_overrides,A045A:armordamage,A045A,armordamage,.45 ACP armor-piercing / Armor damage,0.1,5,0.1,1,True,,
Ammo,individual,slider,ammo_overrides,A045A:bleeding,A045A,bleeding,.45 ACP armor-piercing / Bleeding,0.1,5,0.1,1,True,,
Ammo,individual,slider,ammo_overrides,A045A:cover,A045A,cover,.45 ACP armor-piercing / Cover penetration,0.1,5,0.1,1,True,,
Ammo,individual,slider,ammo_overrides,A045A:damage,A045A,damage,.45 ACP armor-piercing / Damage,0.1,5,0.1,1,True,,
Ammo,individual,slider,ammo_overrides,A045A:dispersion,A045A,dispersion,.45 ACP armor-piercing / Spread,0.1,5,0.1,1,True,,
Ammo,individual,slider,ammo_overrides,A045A:flatness,A045A,flatness,.45 ACP armor-piercing / Trajectory flatness,0.1,5,0.1,1,True,,
Ammo,individual,slider,ammo_overrides,A045A:piercing,A045A,piercing,.45 ACP armor-piercing / Armor piercing,0.1,5,0.1,1,True,,
Ammo,individual,slider,ammo_overrides,A045A:recoil,A045A,recoil,.45 ACP armor-piercing / Recoil,0.1,5,0.1,1,True,,
Ammo,individual,slider,ammo_overrides,A045A:stack,A045A,stack,.45 ACP armor-piercing / Stack size,0.1,5,0.1,1,True,,
